iter	RMSE
0	3.701290985
1	3.552711188
2	3.416242291
3	3.343969896
4	3.275289781
5	3.21653484
6	3.170718949
7	3.133538152
8	3.10683961
9	3.046282036
10	3.026876974
11	3.005339122
12	2.984244406
13	2.964530363
14	2.941794405
15	2.930349014
16	2.915527938
17	2.906142706
18	2.888000624
19	2.875660341
20	2.863570407
21	2.848460205
22	2.837896499
23	2.805617629
24	2.791421109
25	2.785470509
26	2.779441954
27	2.770967653
28	2.762523571
29	2.747917397
30	2.739388322
31	2.73453254
32	2.724426911
33	2.709332423
34	2.690085882
35	2.684436533
36	2.676917836
37	2.671432286
38	2.663055921
39	2.658459036
40	2.640898599
41	2.622497508
42	2.610972004
43	2.603026846
44	2.59732732
45	2.585742033
46	2.581252541
47	2.574594815
48	2.566806172
49	2.563102261
50	2.551013429
51	2.545182479
52	2.537532681
53	2.525807125
54	2.519768013
55	2.512306425
56	2.506071111
57	2.49569063
58	2.490849571
59	2.486737832
60	2.480426892
61	2.475178221
62	2.45315187
63	2.449894781
64	2.446431861
65	2.443404699
66	2.43834295
67	2.429735837
68	2.420950683
69	2.416357472
70	2.404176306
71	2.398542347
72	2.393321027
73	2.386230121
74	2.382818844
75	2.374581514
76	2.370607896
77	2.365985495
78	2.356751232
79	2.352012136
80	2.344125406
81	2.332536573
82	2.326948825
83	2.323891061
84	2.319813503
85	2.311987827
86	2.305056628
87	2.300932838
88	2.298433199
89	2.294422707
90	2.292314563
91	2.287975439
92	2.284052422
93	2.279854313
94	2.276625569
95	2.27209242
96	2.269536428
97	2.26730196
98	2.261740374
99	2.258111365
100	2.254506684
101	2.253324481
102	2.249176294
103	2.243726476
104	2.242028233
105	2.237805164
106	2.235334587
107	2.232394855
108	2.228924748
109	2.222968171
110	2.22092044
111	2.217820903
112	2.21521824
113	2.212201723
114	2.208684984
115	2.205080006
116	2.201421677
117	2.193976836
118	2.188585946
119	2.186457399
120	2.181023648
121	2.178238716
122	2.175771525
123	2.17312658
124	2.17020804
125	2.166947788
126	2.163206364
127	2.161284629
128	2.150909825
129	2.147987581
130	2.14430765
131	2.141513441
