iter	Passed	Remaining
0	11	116659
1	20	103959
2	26	88608
3	33	84705
4	39	79172
5	45	75771
6	53	76491
7	58	73283
8	65	72508
9	71	71132
10	76	69767
11	86	71667
12	92	71100
13	99	70814
14	104	69669
15	112	70211
16	118	69611
17	125	69393
18	131	69123
19	137	68615
20	142	67756
21	148	67527
22	154	67214
23	160	66825
24	166	66318
25	172	66120
26	178	65825
27	183	65362
28	189	65124
29	197	65591
30	202	65208
31	208	65050
32	216	65274
33	223	65618
34	231	65893
35	237	65664
36	243	65644
37	249	65350
38	255	65141
39	266	66344
40	300	73031
41	313	74290
42	331	76704
43	343	77762
44	353	78165
45	366	79254
46	373	79171
47	380	78876
48	385	78373
49	395	78787
50	401	78389
51	409	78349
52	415	77973
53	424	78134
54	429	77749
55	437	77672
56	444	77475
57	450	77136
58	457	77052
59	463	76750
60	470	76717
61	477	76523
62	484	76449
63	490	76139
64	495	75773
65	503	75820
66	509	75524
67	515	75294
68	522	75130
69	527	74864
70	535	74954
71	542	74798
72	550	74854
73	555	74503
74	560	74208
75	567	74080
76	573	73864
77	578	73627
78	584	73461
79	590	73256
80	597	73203
81	607	73493
82	615	73532
83	621	73329
84	626	73032
85	633	72978
86	638	72736
87	643	72508
88	650	72421
89	655	72209
90	662	72091
91	667	71868
92	672	71637
93	678	71530
94	684	71316
95	689	71123
96	695	71034
97	700	70809
98	705	70606
99	712	70520
100	717	70332
101	722	70152
102	733	70461
103	739	70337
104	746	70325
105	751	70164
106	757	70049
107	762	69847
108	767	69662
109	774	69660
110	780	69506
111	787	69482
112	793	69442
113	799	69324
114	806	69354
115	812	69196
116	817	69087
117	824	69084
118	845	70169
119	852	70188
120	864	70608
121	872	70640
122	878	70561
123	884	70434
124	891	70459
125	897	70323
126	904	70288
127	909	70142
128	914	69979
129	922	70015
130	927	69899
131	933	69776
132	941	69817
133	947	69792
134	956	69899
135	963	69862
136	972	70038
137	979	69980
138	993	70510
139	1038	73151
140	1052	73561
141	1088	75533
142	1096	75585
143	1104	75629
144	1122	76269
145	1138	76869
146	1153	77311
147	1160	77268
148	1167	77194
149	1173	77040
150	1179	76912
151	1187	76916
152	1192	76724
153	1199	76700
154	1205	76595
155	1211	76455
156	1219	76459
157	1225	76348
158	1232	76311
159	1238	76195
160	1246	76179
161	1254	76160
162	1260	76062
163	1267	76013
164	1273	75901
165	1281	75928
166	1287	75808
167	1295	75824
168	1300	75677
169	1308	75650
170	1315	75606
171	1322	75558
172	1329	75516
173	1336	75471
174	1343	75445
175	1350	75374
176	1357	75311
177	1363	75224
178	1368	75097
179	1373	74957
180	1381	74933
181	1386	74798
182	1393	74732
183	1398	74591
184	1403	74476
185	1410	74428
186	1415	74286
187	1420	74161
188	1427	74122
189	1433	74009
190	1438	73880
191	1445	73830
192	1450	73727
193	1460	73805
194	1465	73670
195	1470	73567
196	1480	73679
197	1485	73542
198	1493	73535
199	1498	73434
200	1506	73463
201	1512	73356
202	1517	73243
203	1525	73232
204	1530	73105
205	1538	73134
206	1543	73038
207	1550	72969
208	1556	72939
209	1562	72830
210	1569	72816
211	1574	72703
212	1580	72605
213	1586	72565
214	1592	72457
215	1597	72356
216	1603	72312
217	1610	72251
218	1616	72213
219	1622	72147
220	1628	72073
221	1635	72052
222	1641	71967
223	1647	71898
224	1653	71854
225	1659	71754
226	1665	71719
227	1671	71652
228	1677	71557
229	1684	71535
230	1688	71421
231	1693	71322
232	1701	71324
233	1706	71232
234	1711	71124
235	1718	71113
236	1723	71012
237	1730	70996
238	1735	70896
239	1742	70861
240	1753	70991
241	1758	70909
242	1770	71075
243	1775	70995
244	1784	71054
245	1790	70985
246	1800	71107
247	1816	71433
248	1832	71752
249	1840	71760
250	1847	71758
251	1853	71715
252	1860	71680
253	1866	71632
254	1872	71562
255	1878	71503
256	1884	71429
257	1889	71343
258	1896	71312
259	1900	71209
260	1906	71157
261	1912	71093
262	1917	71008
263	1925	70992
264	1929	70893
265	1935	70832
266	1943	70847
267	1949	70776
268	1956	70766
269	1961	70679
270	1966	70606
271	1973	70581
272	1978	70500
273	1984	70442
274	1991	70431
275	1997	70369
276	2002	70302
277	2009	70261
278	2014	70191
279	2022	70223
280	2028	70166
281	2034	70114
282	2041	70084
283	2047	70032
284	2053	70014
285	2059	69956
286	2065	69914
287	2072	69873
288	2078	69829
289	2084	69789
290	2090	69735
291	2095	69673
292	2101	69633
293	2107	69565
294	2114	69548
295	2120	69513
296	2126	69457
297	2131	69379
298	2137	69351
299	2144	69323
300	2150	69310
301	2157	69271
302	2162	69204
303	2169	69185
304	2174	69115
305	2180	69077
306	2186	69042
307	2191	68966
308	2198	68954
309	2203	68887
310	2208	68817
311	2215	68797
312	2220	68718
313	2225	68650
314	2232	68636
315	2238	68588
316	2243	68524
317	2250	68513
318	2255	68461
319	2262	68445
320	2268	68399
321	2273	68328
322	2283	68414
323	2287	68326
324	2294	68292
325	2298	68211
326	2303	68126
327	2308	68058
328	2313	67998
329	2317	67917
330	2322	67829
331	2328	67803
332	2332	67721
333	2338	67674
334	2345	67665
335	2352	67655
336	2359	67647
337	2364	67579
338	2373	67655
339	2382	67700
340	2393	67785
341	2398	67744
342	2403	67677
343	2412	67718
344	2418	67689
345	2428	67759
346	2433	67689
347	2440	67689
348	2446	67642
349	2451	67588
350	2458	67576
351	2462	67503
352	2467	67425
353	2473	67405
354	2478	67331
355	2482	67263
356	2488	67224
357	2493	67151
358	2498	67084
359	2504	67069
360	2509	66998
361	2513	66923
362	2519	66890
363	2524	66824
364	2528	66751
365	2535	66734
366	2540	66688
367	2546	66648
368	2553	66647
